what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.redo",1345129013786
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.redo",1345129016085
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1345129017222
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1345129018560
activated,view,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.PackageExplorer",1345129022607
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1345129024038
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1345129027013
executed,command,com.pittypanda.plugins.couch,1.0.0.201010261838,"com.pittypanda.plugins.couch.commands.push",1345129027112
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1345129028598
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1345129038227
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1345129040022
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1345129052958
activated,editor,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1345129053998
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1345129064810
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1345129066357
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1345129423119
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1345129438398
activated,view,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.PackageExplorer",1345129440579
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1345129441784
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1345129445884
executed,command,com.pittypanda.plugins.couch,1.0.0.201010261838,"com.pittypanda.plugins.couch.commands.push",1345129445966
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1345129450196
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1345129489246
activated,editor,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1345129490117
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1345129494535
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.redo",1345129496974
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1345129506624
activated,view,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.PackageExplorer",1345129507991
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1345129509109
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1345129511881
executed,command,com.pittypanda.plugins.couch,1.0.0.201010261838,"com.pittypanda.plugins.couch.commands.push",1345129511959
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1345129513288
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1345130427212
activated,editor,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1345130429370
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1345130435508
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1345130436238
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1345130436830
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1345130442070
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1345130472565
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1345130475819
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1345130477344
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1345130480649
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1345130481869
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1345130482207
